0.491469,-0.315687,-0.001205,0.508291,0.729257,-0.025532,-0.041823,0.152912,-0.192459,0.399700,0.274144,-0.250008
0.662838,-0.326504,0.076147,0.756910,0.351076,0.068370,-0.113104,0.147963,-0.189078,0.099393,0.620064,-0.524638
0.420800,-0.300954,0.609379,1.334406,0.347612,0.201551,-0.119849,-0.096872,-0.538414,-0.509148,0.505359,-0.649656
-0.289872,-0.366968,0.736586,1.245265,0.603885,0.500788,-0.369495,-0.240772,-0.723946,-0.864778,0.571049,-0.704108
-0.319228,-0.360838,0.779872,1.303585,0.476981,0.632925,-0.087037,-0.349401,-0.701349,-0.926026,0.672991,-0.592593
-0.382495,-0.501985,0.755902,0.725715,0.423897,0.653695,0.433965,-0.512034,-0.654316,-0.636105,-0.016942,-0.036912
0.411545,-0.024244,0.433708,-0.543820,0.066663,-0.002079,0.594941,-0.475470,-0.356148,0.364747,-0.020505,-0.093010
1.552742,0.589039,-0.209256,-1.355565,0.491832,-0.979862,0.198836,-0.259747,0.445277,2.045920,0.276574,-0.854137
1.440496,0.603386,-0.161351,-1.130984,0.459867,-0.799649,-0.450329,-0.409966,0.714179,2.074266,1.025844,-1.708210
1.410129,0.482763,-0.264774,-1.270780,0.391987,-0.670533,-0.369118,-0.283834,0.715172,2.204434,1.414105,-2.161865
1.322673,0.437374,-0.077834,-1.120065,0.321756,-0.634846,-0.759793,-0.032060,0.585014,2.302823,1.950588,-2.413115
1.356912,0.404403,-0.124659,-1.178583,0.299303,-0.683472,-0.291344,0.086227,0.574196,2.226914,2.133175,-2.456564
1.271821,0.365552,-0.140524,-1.123318,0.273204,-0.720212,-0.078373,0.013291,0.568020,2.136887,2.175860,-2.379047
1.247066,0.358343,-0.201396,-1.158672,0.276139,-0.719681,0.127149,-0.075786,0.613147,2.098793,2.123628,-2.317868
1.251125,0.351408,-0.258115,-1.166592,0.265776,-0.740968,0.318913,-0.114222,0.636179,2.032430,2.016055,-2.263983
1.204574,0.330982,-0.234453,-1.121724,0.269347,-0.727798,0.233960,-0.140160,0.542094,1.957055,1.850137,-2.262154
1.216778,0.334806,-0.252506,-1.124087,0.293184,-0.711513,0.201220,-0.187923,0.501469,1.895452,1.586452,-2.300800
1.219135,0.337283,-0.198816,-1.117052,0.319336,-0.676831,0.024965,-0.211747,0.380139,1.814813,1.321713,-2.383955
1.267908,0.350333,-0.160760,-1.126585,0.370587,-0.652190,-0.124341,-0.243139,0.238877,1.696352,0.982210,-2.495459
1.305665,0.359776,-0.096305,-1.125217,0.419101,-0.667324,-0.226945,-0.231808,0.166936,1.636238,0.723628,-2.588866
1.323730,0.362096,-0.056398,-1.120951,0.449553,-0.698202,-0.274950,-0.211636,0.156806,1.629598,0.576491,-2.656104
1.331237,0.358625,-0.049557,-1.126085,0.451153,-0.727112,-0.241287,-0.201495,0.194975,1.655368,0.533283,-2.690171
1.318713,0.354375,-0.042373,-1.120323,0.445348,-0.742516,-0.221612,-0.187144,0.234173,1.695018,0.577731,-2.704290
1.311783,0.350137,-0.057040,-1.129268,0.435998,-0.740061,-0.172085,-0.200445,0.301473,1.758404,0.665369,-2.695997
1.289253,0.347761,-0.048328,-1.121566,0.418507,-0.733661,-0.176558,-0.169479,0.354500,1.825932,0.842477,-2.695139
1.263767,0.346830,-0.044967,-1.114712,0.404970,-0.705986,-0.239255,-0.146767,0.418959,1.923200,1.069344,-2.696483
1.253371,0.348111,-0.063472,-1.124757,0.379170,-0.683590,-0.224169,-0.128105,0.508679,2.025781,1.338062,-2.684438
